Username,Twitter Handle,Timestamp,Comments,Retweets,Likes,Text
scistock,@beaker192,2022-11-15T05:13:21.000Z,,,,Daily chart bearish swing flagged for $TSLA on 11-14-2022 calculated after market close with unusual options flow. #bearishswing #TSLA #unusualoptionsflow #stockmarket #stocks #investing #trading
LTN,@LearnTeslaNews,2022-11-15T04:42:34.000Z,,,,#TSLA
Andrei Liakhovich,@anliakho,2022-11-15T04:38:17.000Z,,,,"Why everybody is so obsessed with 
@elonmusk
 selling #TSLA? Why nobody ever complains about Bezos selling #AMZN? Bezos sold 8 billion worth this year alone and has been steadily selling to fund his other projects for years (blue origin and etc). But somehow Elon selling is bad "
Options Decipher,@OptionsDecipher,2022-11-15T04:38:02.000Z,,,1,"#TSLA #VolumeProfile 

#ES $ES $ES_F #ES_F #SPY $SPY #SPX $SPX #NDX $NDX #AAPL $AAPL $TSLA"
LTN,@LearnTeslaNews,2022-11-15T04:37:45.000Z,,,,#TSLA
